assay_name,assay_cat
URINE CULTURE RESULTS,URINE CULTURE RESULTS
Aerobic Culture,Aerobic Culture
Aerobic Culture 2,Aerobic Culture 2
Environment Culture,Environment Culture
Pre Breed Culture,Pre Breed Culture
Aerobic Culture ID Only,Aerobic Culture ID Only
Fecal Culture,Fecal Culture
Blood Culture Aerobic,Blood Culture Aerobic
Blood Culture 2 Aerobic,Blood Culture 2 Aerobic
MRSA Screening Culture,MRSA Screening Culture
Yersinia Cold Enrichment,Yersinia Cold Enrichment
Blood Culture 3 Aerobic,Blood Culture 3 Aerobic
UNKNOWN,UNKNOWN
