org_standard,org_order,org_family,org_genus,org_species,org_subspecies,org_clean
ACREMONIUM SP,,,ACREMONIUM,SP,,ACREMONIUM SP
DEMATIACEOUS FUNGUS,,,DEMATIACEOUS,FUNGUS,,DEMATIACEOUS FUNGUS
DEMATIACEOUS HYPHAE,,,DEMATIACEOUS,HYPHAE,,DEMATIACEOUS HYPHAE
DROP,,,DROP,,,DROP 
EXIGUOBACTERIUM SP,,,EXIGUOBACTERIUM,SP,,EXIGUOBACTERIUM SP
FUNGUS,,,FUNGUS,,,FUNGUS 
MOLD PRESENT,,,MOLD,PRESENT,,MOLD PRESENT
ENTERIC GRAM NEG ROD,,,UNIDENTIFIED,GRAM NEGATIVE,ROD,UNIDENTIFIED GRAM NEGATIVE
ENTERIC GRAM NEGATIVE BACILLI,,,UNIDENTIFIED,GRAM NEGATIVE,BACILLI,UNIDENTIFIED GRAM NEGATIVE
ENTERIC GRAM NEGATIVE ROD,,,UNIDENTIFIED,GRAM NEGATIVE,ROD,UNIDENTIFIED GRAM NEGATIVE
ENTERIC GRAM NEGATIVE RODUNABLE TO IDENTIFY,,,UNIDENTIFIED,GRAM NEGATIVE,ROD,UNIDENTIFIED GRAM NEGATIVE
ENTERIC NEGATIVE RODSUNABLE TO IDENTIFY,,,UNIDENTIFIED,GRAM NEGATIVE,ROD,UNIDENTIFIED GRAM NEGATIVE
GRAM NEGATIVE BACILLI,,,UNIDENTIFIED,GRAM NEGATIVE,BACILLI,UNIDENTIFIED GRAM NEGATIVE
GRAM NEGATIVE ROD,,,UNIDENTIFIED,GRAM NEGATIVE,ROD,UNIDENTIFIED GRAM NEGATIVE
GRAM NEGATIVE RODS,,,UNIDENTIFIED,GRAM NEGATIVE,ROD,UNIDENTIFIED GRAM NEGATIVE
GRAM NEGATIVE RODS UNABLE TO IDENTIFY,,,UNIDENTIFIED,GRAM NEGATIVE,ROD,UNIDENTIFIED GRAM NEGATIVE
GRAM NEGATIVE RODUNABLE TO IDENTIFY,,,UNIDENTIFIED,GRAM NEGATIVE,ROD,UNIDENTIFIED GRAM NEGATIVE
NONENTERIC GRAM NEG RODUNABLE TO SPECIATE,,,UNIDENTIFIED,GRAM NEGATIVE,ROD,UNIDENTIFIED GRAM NEGATIVE
NORMAL GRAM POSITIVE FLORA,,,UNIDENTIFIED,GRAM POSITIVE,NORMAL FLORA,UNIDENTIFIED GRAM POSITIVE
GRAM POSITIVE COCCI,,,UNIDENTIFIED,GRAM POSITIVE,COCCI,UNIDENTIFIED GRAM POSITIVE
GRAM POSITIVE RODS UNABLE TO ID,,,UNIDENTIFIED,GRAM POSITIVE,ROD,UNIDENTIFIED GRAM POSITIVE
GRAM POSITIVIE BACILLUS,,,UNIDENTIFIED,GRAM POSITIVE,BACILLI,UNIDENTIFIED GRAM POSITIVE
GRAMPOSITIVE COCCI,,,UNIDENTIFIED,GRAM POSITIVE,COCCI,UNIDENTIFIED GRAM POSITIVE
GRAMPOSITIVE RODS,,,UNIDENTIFIED,GRAM POSITIVE,ROD,UNIDENTIFIED GRAM POSITIVE
GRAMPOSITIVE RODS UNABLE TO IDENTIFY,,,UNIDENTIFIED,GRAM POSITIVE,ROD,UNIDENTIFIED GRAM POSITIVE
ANAEROBIC GRAM POS ROD NOT C PERFRINGENS,,,UNIDENTIFIED,GRAM POSITIVE,ROD,UNIDENTIFIED GRAM POSITIVE
UNIDENTIFIED ORGANISM,,,UNIDENTIFIED,,,UNIDENTIFIED 
ORGANISM RESEMBLING MYCOPLASMA PRESENT,,,UNIDENTIFIED,,,UNIDENTIFIED 
BLACK YEAST UNABLE TO IDENTIFY,,,YEAST,SP,BLACK,YEAST SP
YEAST,,,YEAST,SP,,YEAST SP
YEAST SP,,,YEAST,SP,,YEAST SP
ACTINOMYCES EUROPAEUS,ACTINOMYCETALES,ACTINOMYCETACEAE,ACTINOMYCES,EUROPAEUS,,ACTINOMYCES EUROPAEUS
ACTINOMYCES PYOGENES,ACTINOMYCETALES,ACTINOMYCETACEAE,ACTINOMYCES,PYOGENES,,ACTINOMYCES PYOGENES
ACTINOMYCES SP,ACTINOMYCETALES,ACTINOMYCETACEAE,ACTINOMYCES,SP,,ACTINOMYCES SP
ARCANOBACTERIUM CANIS,ACTINOMYCETALES,ACTINOMYCETACEAE,ARCANOBACTERIUM,CANIS,,ARCANOBACTERIUM CANIS
ARCANOBACTERIUM HAEMOLYTICUM,ACTINOMYCETALES,ACTINOMYCETACEAE,ARCANOBACTERIUM,HAEMOLYTICUM,,ARCANOBACTERIUM HAEMOLYTICUM
ARCANOBACTERIUM PHOCAE,ACTINOMYCETALES,ACTINOMYCETACEAE,ARCANOBACTERIUM,PHOCAE,,ARCANOBACTERIUM PHOCAE
